Name	Date	Distance	Trip Length	Trip Length Seconds	Location	Url
HackHolyoke	April 3rd - 4th	944	14 hours 5 mins	50708	"South Hadley, MA"	http://www.hackholyoke.org/
Hack@Smith	March 28th - 29th	948	14 hours 6 mins	50771	"Northampton, MA"	http://hackatsmith.org/
Hack.Rice	January 31st - February 1st	949	14 hours 7 mins	50800	"Houston, TX"	http://hack.rice.edu
CodeRED	April 3rd - 4th	949	14 hours 7 mins	50800	"Houston, TX"	http://codered.cougarcs.com/
HackUMass	April 11th - 12th	954	14 hours 14 mins	51238	"Amherst, MA"	http://hackumass.com/
Project 34	May 2nd - 3rd	989	14 hours 33 mins	52398	"St. Petersburg, FL"	http://www.theproject34.com/
HackCU	April 10th - 12th	1037	14 hours 44 mins	53032	"Boulder, CO"	http://hackcu.org/
Hack@Brown	February 7th - 8th	964	14 hours 51 mins	53481	"Providence, RI"	http://hackatbrown.org/
HackDartmouth	April 11th - 12th	990	15 hours 12 mins	54745	"Hanover, NH"	http://www.hackdartmouth.io/
Medstart	January 30th - February 1st	1024	15 hours 13 mins	54759	"Boston, MA"	http://tuftsmedstart.com/
ID Hack	February 13th - 14th	1029	15 hours 18 mins	55107	"Medford, MA"	http://idhack.developersfordevelopment.org/
UHack	February 21st - 22nd	1174	17 hours 3 mins	61357	"Miami, FL"	http://coe.miami.edu/uhack2015/
CBBhacks	February 6th - 8th	1147	17 hours 3 mins	61401	"Brunswick, ME"	http://www.cbbhacks.org/
HackMTY	March 21st - 22nd	1405	20 hours 41 mins	74441	"Monterrey, MX"	http://hackmty.com/
HackCUU	March 13th - 15th	1484	22 hours 11 mins	79835	"Chihuahua, MX"	http://www.hackcuu.com/
Hack Arizona	March 6th - 8th	1618	23 hours 33 mins	84805	"Tucson, AZ"	http://hackarizona.org/
Hackpoly	February 20th - 21st	1974	1 day 4 hours	100467	"Pomona, CA"	http://hackpoly.com/
#FixIt	February 26th - 27th	1963	1 day 5 hours	106189	"Mexico City, MX"	https://events.withgoogle.com/fixit/
SBHacks	January 30th - February 1st	2074	1 day 6 hours	106889	"Santa Barbara, CA"	http://www.ucsbhacks.com
TreeHacks	February 20th - 22nd	2275	1 day 9 hours	117021	"Stanford, CA"	http://www.treehacks.com/
